Fecha;Provincia;Festividad
01/05/2010;HUESCA;Fiesta del Trabajo
01/05/2010;ILLES BALEARS;Fiesta del Trabajo
01/05/2010;JAEN;Fiesta del Trabajo
01/05/2010;LA RIOJA;Fiesta del Trabajo
01/05/2010;LAS PALMAS;Fiesta del Trabajo
01/05/2010;LEON;Fiesta del Trabajo
01/05/2010;LLEIDA;Fiesta del Trabajo
01/05/2010;LUGO;Fiesta del Trabajo
01/05/2010;MADRID;Fiesta del Trabajo
01/05/2010;MALAGA;Fiesta del Trabajo
01/05/2010;MELILLA;Fiesta del Trabajo
01/05/2010;MURCIA;Fiesta del Trabajo
01/05/2010;NAVARRA;Fiesta del Trabajo
01/05/2010;OURENSE;Fiesta del Trabajo
01/05/2010;PALENCIA;Fiesta del Trabajo
01/05/2010;PONTEVEDRA;Fiesta del Trabajo
01/05/2010;SALAMANCA;Fiesta del Trabajo
01/05/2010;SANTA CRUZ DE TENERIFE;Fiesta del Trabajo
01/05/2010;SEGOVIA;Fiesta del Trabajo
01/05/2010;SEVILLA;Fiesta del Trabajo
01/05/2010;SORIA;Fiesta del Trabajo
01/05/2010;SANTA CRUZ DE TENERIFE;Fiesta del Trabajo
01/05/2010;TARRAGONA;Fiesta del Trabajo
01/05/2010;TERUEL;Fiesta del Trabajo
01/05/2010;TOLEDO;Fiesta del Trabajo
01/05/2010;VALENCIA;Fiesta del Trabajo
01/05/2010;VALLADOLID;Fiesta del Trabajo
01/05/2010;ZAMORA;Fiesta del Trabajo
01/05/2010;ZARAGOZA;Fiesta del Trabajo
15/08/2010;A CORUÑA;Asunción de la Virgen
15/08/2010;ALBACETE;Asunción de la Virgen
15/08/2010;ALICANTE;Asunción de la Virgen
15/08/2010;ALMERIA;Asunción de la Virgen
15/08/2010;ALAVA;Asunción de la Virgen
15/08/2010;ASTURIAS;Asunción de la Virgen
15/08/2010;AVILA;Asunción de la Virgen
15/08/2010;BADAJOZ;Asunción de la Virgen
15/08/2010;ILLES BALEARS;Asunción de la Virgen
15/08/2010;BARCELONA;Asunción de la Virgen
15/08/2010;BIZKAIA;Asunción de la Virgen
15/08/2010;BURGOS;Asunción de la Virgen
15/08/2010;CACERES;Asunción de la Virgen
15/08/2010;CADIZ;Asunción de la Virgen
15/08/2010;CANTABRIA;Asunción de la Virgen
15/08/2010;CASTELLON;Asunción de la Virgen
15/08/2010;CEUTA;Asunción de la Virgen
15/08/2010;CIUDAD REAL;Asunción de la Virgen
15/08/2010;CORDOBA;Asunción de la Virgen
15/08/2010;CUENCA;Asunción de la Virgen
15/08/2010;GIPUZKOA;Asunción de la Virgen
15/08/2010;GIRONA;Asunción de la Virgen
15/08/2010;GRANADA;Asunción de la Virgen
15/08/2010;GUADALAJARA;Asunción de la Virgen
15/08/2010;HUELVA;Asunción de la Virgen
15/08/2010;HUESCA;Asunción de la Virgen
15/08/2010;ILLES BALEARS;Asunción de la Virgen
15/08/2010;JAEN;Asunción de la Virgen
15/08/2010;LA RIOJA;Asunción de la Virgen
15/08/2010;LAS PALMAS;Asunción de la Virgen
15/08/2010;LEON;Asunción de la Virgen
15/08/2010;LLEIDA;Asunción de la Virgen
15/08/2010;LUGO;Asunción de la Virgen
15/08/2010;MADRID;Asunción de la Virgen
15/08/2010;MALAGA;Asunción de la Virgen
15/08/2010;MELILLA;Asunción de la Virgen
15/08/2010;MURCIA;Asunción de la Virgen
15/08/2010;NAVARRA;Asunción de la Virgen
15/08/2010;OURENSE;Asunción de la Virgen
15/08/2010;PALENCIA;Asunción de la Virgen
15/08/2010;PONTEVEDRA;Asunción de la Virgen
15/08/2010;SALAMANCA;Asunción de la Virgen
15/08/2010;SANTA CRUZ DE TENERIFE;Asunción de la Virgen
15/08/2010;SEGOVIA;Asunción de la Virgen
15/08/2010;SEVILLA;Asunción de la Virgen
15/08/2010;SORIA;Asunción de la Virgen
15/08/2010;SANTA CRUZ DE TENERIFE;Asunción de la Virgen
15/08/2010;TARRAGONA;Asunción de la Virgen
15/08/2010;TERUEL;Asunción de la Virgen
15/08/2010;TOLEDO;Asunción de la Virgen
15/08/2010;VALENCIA;Asunción de la Virgen
15/08/2010;VALLADOLID;Asunción de la Virgen
15/08/2010;ZAMORA;Asunción de la Virgen
15/08/2010;ZARAGOZA;Asunción de la Virgen
12/10/2010;A CORUÑA;Fiesta Nacional de España
12/10/2010;ALBACETE;Fiesta Nacional de España
12/10/2010;ALICANTE;Fiesta Nacional de España
12/10/2010;ALMERIA;Fiesta Nacional de España
12/10/2010;ALAVA;Fiesta Nacional de España
12/10/2010;ASTURIAS;Fiesta Nacional de España
12/10/2010;AVILA;Fiesta Nacional de España
12/10/2010;BADAJOZ;Fiesta Nacional de España
12/10/2010;ILLES BALEARS;Fiesta Nacional de España
12/10/2010;BARCELONA;Fiesta Nacional de España
12/10/2010;BIZKAIA;Fiesta Nacional de España
12/10/2010;BURGOS;Fiesta Nacional de España
12/10/2010;CACERES;Fiesta Nacional de España
12/10/2010;CADIZ;Fiesta Nacional de España
12/10/2010;CANTABRIA;Fiesta Nacional de España
12/10/2010;CASTELLON;Fiesta Nacional de España
12/10/2010;CEUTA;Fiesta Nacional de España
12/10/2010;CIUDAD REAL;Fiesta Nacional de España
12/10/2010;CORDOBA;Fiesta Nacional de España
